id,name,short_code,address,created_at
758055ba-5c89-4add-8c34-7c930e5e7d5c,Bengaluru Bulk Store 5,BEN-BU-05,"10/433, Chaudry Street, Bengaluru, Sikkim, 960013",2024-03-04 09:01:53
ee16175c-ce34-4f7a-95eb-3dae8e417ca6,Chennai Distribution Centre 97,CHE-DI-97,"890, Issac Circle, Chennai, Tamil Nadu, 379402",2024-06-26 09:01:53
0ecdfe5c-32c5-4f2b-9b2d-2cc061d3c946,Mysuru Export Hub 64,MYS-EX-64,"65/423, Chaudry Path, Mysuru, Assam, 155940",2024-01-28 09:01:53
e26ca13d-064d-4f03-848c-4933ddee8c2a,Ghaziabad Bulk Store 13,GHA-BU-13,"78/161, Memon Circle, Ghaziabad, Uttarakhand, 931034",2024-11-27 09:01:53
92d110e7-d20c-4d8d-99f1-0aff4df1f37f,Navi Mumbai Bulk Store 71,NAV-BU-71,"H.No. 316, Setty Road, Navi Mumbai, Rajasthan, 255341",2024-03-07 09:01:53
ff6f6a3c-f7b6-4b0c-8713-c55348011d3b,Allahabad Main Warehouse 2,ALL-MA-02,"28/32, Raghavan Chowk, Allahabad, Himachal Pradesh, 503056",2023-08-24 09:01:53
ddd32941-e656-431f-bc13-8d4c9a789f79,Kanpur Fulfilment Centre 4,KAN-FU-04,"H.No. 13, Murty, Kanpur, Gujarat, 672423",2023-12-05 09:01:53
d2a9960a-c65a-47dc-a376-6a8fb90cda10,Delhi Sorting Centre 14,DEL-SO-14,"88/496, Rastogi, Delhi, Kerala, 287101",2025-04-06 09:01:53
8f33ae58-38ca-4dfc-83e6-5098705cccf1,Tiruchirappalli Bulk Store 15,TIR-BU-15,"269, Rajan Zila, Tiruchirappalli, Madhya Pradesh, 848018",2024-08-29 09:01:53
5a574c1d-12ff-43bf-ad26-48ef43e0632b,Jaipur Sorting Centre 68,JAI-SO-68,"H.No. 51, Saran Road, Jaipur, Goa, 048281",2023-08-11 09:01:53
c42c31d6-70d7-4906-b3ad-b79e2ce11041,Mumbai Fulfilment Centre 89,MUM-FU-89,"48/932, Edwin Path, Mumbai, Nagaland, 957015",2025-02-21 09:01:53
577b555a-4fe6-4dec-b245-2ddd0063d4e5,Ludhiana Retail Warehouse 82,LUD-RE-82,"H.No. 30, Brar Ganj, Ludhiana, Assam, 182278",2024-03-25 09:01:53
63744a5b-5e29-4713-bc73-0e3cc64d9c3c,Amritsar Regional Depot 94,AMR-RE-94,"489, Kakar Marg, Amritsar, Nagaland, 465787",2025-05-28 09:01:53
c3b68eda-2ddf-41d1-b0f6-4dfca8647f9b,Gwalior Distribution Centre 93,GWA-DI-93,"H.No. 331, Bail Path, Gwalior, Odisha, 930103",2023-08-28 09:01:53
bfd1d327-cb68-4e1a-9060-c49f5617916a,Rajkot Main Warehouse 80,RAJ-MA-80,"H.No. 051, Khanna Circle, Rajkot, Himachal Pradesh, 382997",2024-04-17 09:01:53
3167adf1-ffd8-4ba8-a177-4c1bf61ac5de,Indore Bulk Store 48,IND-BU-48,"763, Chatterjee Zila, Indore, Sikkim, 566701",2024-06-28 09:01:53
f02d19c4-59ab-43d9-9fff-f2eee16f6a4e,Agra Storage Hub 8,AGR-ST-08,"H.No. 651, Handa Ganj, Agra, Gujarat, 262473",2025-12-26 09:01:53
994b663b-bc72-4a9a-aa54-3d6486e9f895,Vadodara Sorting Centre 10,VAD-SO-10,"H.No. 781, Zachariah Nagar, Vadodara, Uttarakhand, 132677",2023-12-08 09:01:53
e47f6dc1-7ec8-44eb-a4c3-fdb9f6e957ac,Pune Export Hub 82,PUN-EX-82,"602, Agate Marg, Pune, Madhya Pradesh, 746872",2024-01-14 09:01:53
47851191-fd4d-4e71-a59c-a94d47d0e459,Coimbatore Regional Depot 14,COI-RE-14,"430, Bhat, Coimbatore, Telangana, 009788",2024-09-08 09:01:53
2a5d4217-6db2-4b3a-b5e4-a28e85c49665,Patna Fulfilment Centre 30,PAT-FU-30,"081, Biswas Street, Patna, Punjab, 361939",2025-02-01 09:01:53
b2013eeb-d9db-4b47-8903-cb5860c3ea69,Allahabad Retail Warehouse 44,ALL-RE-44,"09/16, Virk, Allahabad, Karnataka, 353462",2023-11-07 09:01:53
2a9c7913-1ac8-4ca7-8666-d65befb56f8c,Delhi Sorting Centre 18,DEL-SO-18,"47/510, Chaudhry Chowk, Delhi, Assam, 842513",2024-01-30 09:01:53
54be1a19-4def-417b-a837-d5de338ba8a5,Rajkot Fulfilment Centre 22,RAJ-FU-22,"H.No. 42, Mittal Chowk, Rajkot, Punjab, 841241",2023-12-01 09:01:53
1335e168-7a1c-4218-9d7f-b37dd48384a4,Solapur Storage Hub 28,SOL-ST-28,"H.No. 824, Kade Road, Solapur, Tamil Nadu, 348740",2024-07-01 09:01:53
f988d08a-4be8-4d63-ac25-6c809f6f354f,Gwalior Export Hub 19,GWA-EX-19,"H.No. 640, Nath Nagar, Gwalior, Tripura, 427868",2025-12-29 09:01:53
45c1db2a-966f-466b-89f3-61ed68d3ac98,Bhopal Retail Warehouse 36,BHO-RE-36,"H.No. 112, Banik Circle, Bhopal, Uttarakhand, 982620",2025-04-05 09:01:53
3258657c-a0f1-4563-a012-e88a3c35d167,Ludhiana Bulk Store 10,LUD-BU-10,"H.No. 50, Kade Path, Ludhiana, Sikkim, 158692",2025-12-10 09:01:53
bc81353d-7dac-4a51-b645-2b7376785d8e,Visakhapatnam Main Warehouse 90,VIS-MA-90,"226, Gola Nagar, Visakhapatnam, Telangana, 634216",2024-02-10 09:01:53
d6f51dda-6055-4435-9c67-ad4477d8001d,Solapur Regional Depot 17,SOL-RE-17,"H.No. 733, Palla Chowk, Solapur, Jharkhand, 303654",2024-09-28 09:01:53
54bff124-d845-42fa-b68a-d0f7248ffc01,Ranchi Bulk Store 96,RAN-BU-96,"H.No. 458, Yadav Marg, Ranchi, Karnataka, 142940",2026-01-30 09:01:53
322a06bb-cbe2-4ff1-bd44-3ad5eef06058,Nashik Main Warehouse 44,NAS-MA-44,"H.No. 965, Sarin Path, Nashik, Punjab, 693406",2025-07-14 09:01:53
b2402b2e-76b7-4cdd-a853-fa3e07799960,Amritsar Bulk Store 55,AMR-BU-55,"H.No. 883, Sankar Path, Amritsar, Assam, 951484",2024-12-24 09:01:53
606760c0-4b8a-4dad-92bd-cb8786fd85f9,Hubli Main Warehouse 67,HUB-MA-67,"65/648, Handa Street, Hubli, Maharashtra, 299468",2024-04-03 09:01:53
