id,name
717c3862-8869-4362-8176-cb3d494e23d2,Shoes & Footwear
0df03ef4-f8fb-4d41-9313-02aa723a4b3a,Television & Displays
c6b86dde-0af3-4762-8f11-eaf50cf6fdd1,Beauty & Personal Care
4b48d701-6fb3-4418-a9f8-d7d9ba6d84b4,Electronics & Gadgets
ac24a643-b45d-492d-b68d-07ad3fc5e688,Clothing & Apparel
9517d9a6-d155-4a4c-a608-2cd6a3b1c69f,Furniture & Home Decor
0875dd4f-228d-4474-b252-795b021c64d0,Sports & Fitness
08b50124-be60-4751-b344-1f56e85b20e6,Books & Stationery
e62fed3c-e3d5-4d78-b360-717a465183a2,Kitchen & Appliances
2e0428c7-31d5-4d43-b03e-33f79fd17261,Toys & Games
