id,name,short_code,warehouse_id
5f47c26a-2ab5-45ca-90cf-0f2cba20ebf8,Bin-G33,BIG33,7599ffb1-b417-4d2b-9923-b8f6c9ce1130
b6878f85-f62a-4c20-a30e-a896984036d7,Bin-B59,BIB59,10be280e-e28c-4eed-961c-05efc8ec8b26
a8af45b4-d6fd-4a6b-85c7-47889436f493,Bin-P21,BIP21,44e87450-159c-4f46-b831-d49a410db80d
ce9e2e20-cc2c-41dd-a07f-8220321d8d3d,Block-F94,BLF94,da757c08-d284-43bb-a997-157d8b4493b6
32d9884e-c8b6-46da-b9ef-261b0cf5b496,Unit-U25,UNU25,154b7eca-2269-4822-9630-7c5d4bb5d6cb
1da65ec8-3355-441c-9ec4-53a7eed7ba67,Section-S95,SES95,bf4fb052-a058-4854-a00d-f936dd28ab58
c1de81a0-a5de-44eb-b50c-25d9598be1e6,Bin-F74,BIF74,81255790-e4b2-4db6-be13-8579ef5c2e2d
e6b6de89-fc55-4482-ba54-7fc29f82a184,Bin-E15,BIE15,e3e53ee8-b99b-4ea1-a203-8e12eaf25753
643dbc1b-a7f8-438c-8498-81d2545a9929,Zone-H04,ZOH04,2a5d4217-6db2-4b3a-b5e4-a28e85c49665
a7049ac4-b4e1-403a-94bf-5831664dfd00,Shelf-F23,SHF23,105f4562-3c7f-4935-8acf-cb8381469e3f
8b6de9d4-be03-4822-b22a-6d4d49d2596c,Rack-B72,RAB72,a91a377e-eab8-4744-87c5-fdc4413ff469
c6b7ba31-3612-4c99-bb0a-b6f19597af20,Aisle-Q30,AIQ30,12bfac7d-147c-4e32-bc85-3e87a8052e4c
cbef56ca-a4e6-4e32-98e7-53b25fed98cf,Row-X36,ROX36,3f87dd61-5fe8-4bbd-bc03-a16b7eb88850
dc22219d-bcab-4d82-b127-0352deb187b4,Row-Y07,ROY07,87f7d739-3153-4d43-9936-a2b6a73eaca2
a7e0a5ce-68d2-4161-8bb9-cbd00ebecf3f,Bay-T72,BAT72,0c965a38-fe20-4cdb-a766-4562d3f40f35
82dc2d6c-ab90-4bf9-b58f-4f756b4afa56,Row-X70,ROX70,a47348bf-fee9-4df2-9301-38473a758232
e27b9e9a-918f-4d50-9f62-55d110cd7388,Row-Z22,ROZ22,4b4ec17a-dd2b-4ece-b5e3-1df078d2a0eb
62b1193d-f43b-45ac-92d9-51c00d3b0d63,Aisle-B52,AIB52,ea66937b-d0e7-4676-8d3c-6f51db56d5a6
5ecb8cb4-ab42-4739-a1bd-4cf3d2b1690c,Aisle-F89,AIF89,8b1f7222-4329-4c0f-9779-87238a43627f
2895171f-8cc1-49d6-9c03-c654cb03e888,Rack-C22,RAC22,19a2e858-6c5a-4ee1-a0bc-57ccccafe6f5
20bb80d7-2a5f-4734-92f0-d76d892c0dc4,Bin-R07,BIR07,08bd8dc3-e954-4ca6-a26f-89a2ef8124f1
10e8f7a0-de01-4517-8021-c0eec93ce29a,Bay-N91,BAN91,5580cef6-1971-43a4-a6a5-3cff1a6fdc0c
0791e311-2c83-4477-9413-3caf378ed253,Zone-Q75,ZOQ75,c0e8a6a4-b45d-4bac-88e1-c1c7f778869d
d89e2ccf-21ce-43a3-9ed9-a65622af5731,Aisle-X35,AIX35,dc6492da-5609-4095-a030-c9a22f2d0107
d35558d9-d9c7-49ae-b05d-69de06fa44e4,Block-A73,BLA73,24b0f733-7a73-4b60-9444-d01ac7dab687
c7d30d58-8855-4b83-9398-39a99dcf8f85,Rack-U55,RAU55,9b68bc1d-553d-42b2-99bc-49bbd76d673b
5bd8d390-11e0-4acf-83ce-6f34aac52a58,Row-E89,ROE89,97d582cc-b542-4973-8b5e-db43609ff58a
ac9de94e-397f-4bf4-8a6a-72039ffecbcd,Zone-F47,ZOF47,d667bd00-aaae-4ea4-8e6e-a3bdc82a13dd
428a6c82-9c08-4ca4-b4e7-57a8d40aa10e,Section-O71,SEO71,db2bdca0-f9a8-4f3d-bb65-3549b08db74a
44d1e9c5-e0cc-4629-93e5-e337c72325c9,Bay-P64,BAP64,0fd901e4-0761-40cf-935f-42d4d9354217
4e1f7f89-4fe6-4cef-90c3-15b0a4773f75,Unit-I02,UNI02,1ce12560-98ff-4b2d-affe-e450e31496ac
184fd04d-ca27-4998-b3de-e731333ac554,Rack-Z90,RAZ90,b36f0b91-3476-4ea0-a6ac-206a9b61caeb
221dbcde-6334-45ce-adfe-ea149a761694,Bay-N41,BAN41,1aec06df-a75f-48ed-8240-6f8d7a2786f0
9a47a618-5879-4160-ae12-c718b751f054,Row-O07,ROO07,e24fdd2b-c55e-465e-a40e-5b1771bd61b2
414cbc6a-5d5c-429b-a087-58c5e23edfa9,Shelf-E79,SHE79,4c372821-4e09-4f2b-a638-725e04b9ee90
4c67e61e-d815-4172-a788-b2199b04d03f,Unit-T59,UNT59,25c673f7-6531-4756-937d-2f7b74928637
e5dcb91e-da68-47e5-8756-a0ac73647547,Unit-J20,UNJ20,1bfbeb34-6bde-4a2e-a206-fc11bbcb1d41
e93b012f-34c4-4f27-b19d-0015045419b7,Unit-B77,UNB77,1ffb1116-0498-428b-9ad9-c9c34f92c27f
bd90173c-ddc4-41c1-b680-ea5e8d2d731c,Unit-Z19,UNZ19,4bd36a54-a6f5-4015-912c-0ff968436f09
f3e5d918-8393-43f4-8882-3a42f8d47005,Shelf-W83,SHW83,c725f961-9c65-4899-bc58-faf097bfb52b
aee2c83b-4732-4f15-bfbf-effeb19007f8,Bay-D57,BAD57,f592a19c-4d41-45a5-ad36-f1e90690603a
bfcc5730-0ab2-4650-9cfa-d1369cefacb3,Rack-K26,RAK26,e612822e-2c99-4ea5-8e11-cda098af571b
506a5f47-ee06-4163-98f6-0815de599ffe,Shelf-U67,SHU67,39a6bb2a-9431-47fb-aabb-13b55d7c167c
67f26181-d848-47d0-a3c9-ec0f81e35967,Rack-K50,RAK50,8aa6b5a1-3ecd-4db1-8a8d-2cf7397c72df
7a428cfd-9c31-4346-a624-f04376c5494b,Unit-Q02,UNQ02,0d4e2c0e-721f-4497-bf7e-397c37ea764e
f6275249-4a18-4d48-9ddd-1a8a105ae6d4,Shelf-W83,SHW83,5be9542f-6aef-4eed-a142-b3d7e02bbc6d
bbcac6aa-c50b-4b08-aa0f-c68836643583,Block-J61,BLJ61,9f58be3a-905b-4cb2-96e4-1d78460f2cb6
aab03e44-1832-487f-b0f5-345df5133ef4,Zone-U09,ZOU09,f328643e-09d9-4aaf-a2a7-4e6ffd8ced5f
99d434f7-cd6a-456c-92e0-3320c75568fe,Row-S68,ROS68,2cf0defb-b42c-4097-b759-d78a310f338e
29ca81bb-485f-4c85-99c6-ab7004e27231,Shelf-F98,SHF98,2a636204-e1cc-409e-adc9-ba9225da4c56
96600637-db3f-4772-b431-9e9946224211,Aisle-R88,AIR88,97baea34-adde-48ce-ab71-db125031511e
a1ce60ae-6c7e-4bb7-b2d5-28ba814127e4,Section-L87,SEL87,f21043e9-762c-4e46-bbf0-9dffad0d4c18
660614dd-1c0f-4541-be1d-16b095853024,Shelf-M03,SHM03,17b25fa3-2667-41fc-893d-c313ac95648a
a49bc5de-1166-4311-bafa-a2785b32d0ed,Bin-T11,BIT11,3fa13176-28d7-42cb-9402-2406ad01caaf
4324643a-8ced-4622-8214-ef5fdf408c45,Bay-R03,BAR03,75aded0b-4a8e-434b-bcec-64c954397923
b1b60805-bbff-48f6-9bf3-6659c953b5ff,Row-A90,ROA90,b823744d-f2b9-449d-ae22-4dbeb8c67f12
49f57e49-29a8-4e97-802a-d0b583888219,Row-A89,ROA89,4e536665-a914-4eba-8c89-2499c7d05796
1b79e8b9-513e-4a63-9fc2-939f841fb5e1,Block-P14,BLP14,6d1166fd-3104-433c-b550-5d4c4844e836
d4df31de-55d6-413f-a544-3cc0a151e267,Aisle-B62,AIB62,91a9156a-cacb-401a-a9ba-0335adc281a1
276c5037-e8e2-4477-8dae-a6e94dfcbd86,Shelf-X08,SHX08,70a5be1b-688a-4fd7-8d0a-85e7d53031b8
425059cd-1d1b-4c15-8232-d25c7d47256e,Bay-B37,BAB37,efa57892-522f-4787-ad6a-67dc4f1cae9f
6cf994e8-1768-4f01-bc52-02adc317472c,Section-N71,SEN71,a0e47d0b-1f21-4a3c-85d5-c082fba631f3
87b116d0-6d1b-472b-8948-ba7569da9ae6,Zone-X57,ZOX57,d4971622-5097-415c-b9e4-91f046c32190
2c6d862f-63cb-48c5-8e70-bbba479a6a30,Block-O90,BLO90,b17c0572-2b4d-48e5-8a48-f9d92ea48796
e3e45884-971d-4ded-94f1-76f255a0c0b1,Bay-N11,BAN11,d2516cf5-8c82-403a-aa6f-633124c9603a
5cc6a0f4-960d-48ef-b180-f1ef697991b2,Zone-C12,ZOC12,c3f455bc-1656-4595-8af6-998316f59973
44b8e35d-cbe5-4635-85a8-71c1f92f63a0,Bin-A07,BIA07,dfbd2bf5-4b10-4433-b6f8-f56c859625c1
473d3db6-f4d4-47c2-af3a-d837e3391f4f,Rack-D64,RAD64,0d3cdf9a-9399-4fc7-9c30-9fbb09a2022a
4d7968cb-6d59-4010-a5f2-63037716ec82,Zone-A93,ZOA93,1a89f01f-44e3-487c-8c0f-4da6fa6cefcb
df7248b4-1194-4853-b9f0-26b1684a28e5,Rack-L07,RAL07,2cabb75b-d060-43f3-861b-55b920c0b5d8
da6496b7-3d4d-41f5-ba9c-3c8579de1a0c,Zone-V37,ZOV37,d9f5b2c3-7735-4f94-a2f3-a852a6bb51a0
bd20ef45-4515-4f28-9084-4e30adbd95c0,Row-F88,ROF88,b7f57e23-2596-4168-bba1-4ac86f616bbb
107a72c0-279b-4935-ba65-413865317ab4,Bin-F05,BIF05,8c1ca0ed-5c32-4f6a-aa8a-cc6c7945c71d
9678da4a-1a69-453e-b474-5988f1a4c4fb,Rack-V23,RAV23,686e2507-99df-4e2b-b5b4-64baee3474a6
60e5574f-7452-4875-af11-5f5c7396f80b,Zone-T78,ZOT78,f2a6cc3d-69b3-4f90-a791-3f72f468d860
11e2a324-9ee1-4dd1-be73-454dfb9742e0,Bay-U59,BAU59,8d5013b0-63ba-4f7d-b19e-eb1f203285d6
29c829e5-95e6-46e3-8829-39de32c1dc12,Section-T55,SET55,35315e37-04da-4f02-be8f-d1a359b9e682
fe2de584-dba2-428f-929f-a057e8878f01,Bin-X58,BIX58,9811c6f8-2766-447b-a346-defa4ad28589
c3eb47d1-b854-47b8-bd0d-8978387f65a6,Bay-Y22,BAY22,8a566c15-5905-4ea2-8f8b-db6b462d613d
ba0ce9a0-87e0-43d1-b9e9-d98640f00d1e,Aisle-M85,AIM85,c4539ea0-1940-4e89-a056-bfc5573770da
80f01857-fb59-4470-9045-f7bbe6740fb0,Aisle-B37,AIB37,d908384c-f269-4ff4-84f4-c0396de6b125
7423b126-8cb2-4734-aefe-9f9d3568fd35,Block-J15,BLJ15,2cf2d8a8-4846-430f-8323-d0f1d35dfa73
746294eb-4fc5-4a6a-8168-821c08db21d8,Section-O38,SEO38,5b307d44-315c-49d6-9e2a-638a6721c5dc
848d516a-59ce-4445-b859-4fa62b883a07,Zone-C25,ZOC25,dc2b1569-3d0e-43f9-a3ee-ecc02e3a20e5
dda0ed34-8400-43cb-a51b-29df4fe7aeaf,Row-Y79,ROY79,4a011036-f004-43b5-ab2e-85f079c7b2f1
62a0e5e6-2896-43cf-a912-f9a534edb9d5,Row-Z55,ROZ55,9285d1f3-c547-40f8-b95c-aa6789c1ce0f
a60923d3-b42b-4caf-8652-1098915946f8,Bin-Y88,BIY88,0d5f0e45-ade1-4ff3-ab46-09f529a6ace6
9b87e478-ba3c-439c-a37a-409511b9f88a,Row-M69,ROM69,d5b9019e-24be-47ff-895f-cfd76dded73d
713b1407-cf5b-4ec7-87b9-f84806494b30,Block-Y01,BLY01,2f31adad-c681-4d69-b5f3-272a07d75fe4
e9a34339-efdf-423d-b681-6f5bb6f911ff,Zone-K64,ZOK64,ca63028b-1202-44d7-8b31-db6c06088222
0738de28-da4a-45ab-b5ab-8e6314cb3fa8,Row-J77,ROJ77,6a9e6004-1674-452a-8e09-a2d0f35da038
c4e56d41-4344-4ec0-b7d8-4e9d1d8e00a6,Zone-Q39,ZOQ39,3eb913aa-99b0-4b8b-8077-2e5bb0325c48
5365a4f7-3d3d-4a0a-950d-841d7232df81,Unit-Q11,UNQ11,b45dca59-5961-4839-9885-81a1a7d4c783
c0fb5a69-0c86-4924-8c37-6e4986659e17,Bay-S79,BAS79,0a8118b5-4663-4ee7-8a95-0e99506c24e7
d40a37fd-0ae9-4da3-8d75-fbe728d2d03e,Unit-B28,UNB28,98f8b5b0-b867-4f7d-9cbf-327a3a6540ad
