id,product_id,location_id,quantity,reserved_qty,updated_at
0d31ec08-0557-46e3-8b44-1566934b3581,aaec49da-eae4-492f-ba4c-1e6f31290d32,21e7b0bd-e95c-4c04-a7e4-cb2a3f776db7,650,0,2026-01-31 09:01:53
e5b7cabf-f45d-455f-9592-816017086f1b,22aeca29-ec05-498a-8f92-a0af2cce2b27,c28d7eba-a0ab-4fd6-a916-331b18deaf94,889,0,2025-09-30 09:01:53
2bf0a70a-f7d3-4016-9591-f76a6e3676b6,d8c51c53-2d15-4543-bba5-a316091bea37,5c16e2f5-3a76-475c-9d3f-d759762f0d6f,6,1,2026-01-15 09:01:53
4964723e-867f-45d4-b7b4-88a37d28bc9e,e276dcbd-f52b-437c-8e20-afecb1a4a99a,3f9486db-5b78-4feb-97ef-5fdba0479cac,77,5,2025-09-29 09:01:53
27f4cab3-e382-405b-b42b-ffa16b0a3919,b8463ad7-67de-4db4-aa96-5c57de954c64,db95ae7c-806e-439e-8e81-1166175b8c44,93,0,2025-11-23 09:01:53
08419dce-23ff-4208-8e75-7c9dd9ff0cf2,1fc5258b-d52f-403c-bb8c-1f09388549bb,6f7da51d-b614-4cca-9be2-e88e93dddca2,428,0,2026-01-20 09:01:53
af4b6ca0-b025-483a-9184-fcdbab8f2cd8,e64dc479-5cd9-44cb-9093-d22ca97fd7d4,14865eda-d2c1-43f7-9fb2-7194e72dea1f,62,10,2026-02-28 09:01:53
43504d85-b021-4579-8600-f94f1eeadf2c,2d034287-c2d7-4928-bd12-3b3a55830375,c8627a8c-5b20-4362-9820-5d60638e6c77,64,6,2026-01-26 09:01:53
34ed2eab-3bab-40ac-a5c2-39de36da4991,51aee9e3-5cc9-48ef-9765-03ae67461ca7,75ad1ff2-9a7b-4c6a-b9df-d0acb47217a3,798,0,2026-01-06 09:01:53
310e3d19-da86-4298-904f-de2c17367118,b617ca9d-169c-4029-b93e-88de2ab6d250,2468bf9b-f8bd-4da7-9fa1-0741b6d0934d,730,122,2025-11-03 09:01:53
18bd8899-0dd0-48ff-b040-d160744ae60f,228168f9-efed-40d9-907f-4c87eb7f297c,e75283b3-1079-48ea-8f95-cfae5bc1a53d,648,0,2026-03-04 09:01:53
ae10783a-2258-4373-a09f-7331d2e84c47,9b96c06c-383d-4256-be4f-50555b809250,eb09f3b8-7013-4b34-afe8-4bf3180f08e0,63,0,2025-12-03 09:01:53
8032e85a-653c-4f54-b80a-02a81ad122a0,4a47a2cf-14a2-49f2-a87d-95e4d0f681bc,f11fa850-6f79-41cf-a810-0c97d4f6e70d,1,1,2025-10-23 09:01:53
229a92b1-f6bc-496d-aae9-e34657b20243,f1e127fd-b525-4e24-b0da-d2573f3aa6dc,fe3e5586-a086-47eb-9b44-77e46cdd8b2c,12,0,2026-01-20 09:01:53
ac96dc5d-e475-4962-81ad-463436e8d356,a68116e3-57ed-4472-8a6e-7a79a76f0cf2,60f30b9c-59e2-42dd-89b3-09d637504425,97,0,2025-12-16 09:01:53
c89dddf7-72a0-41a0-8595-2c33a1b04fc6,edb6b903-c34c-4326-9bea-f5b53897e5b5,56cb8299-0858-4c2d-a56b-4bc2d1b74d09,13,0,2025-10-12 09:01:53
472f256b-7b54-42b8-ac15-cde48b7d38b0,d345c010-1741-450c-bf95-a6a8067879b7,c6b7ba31-3612-4c99-bb0a-b6f19597af20,53,0,2026-01-19 09:01:53
3ff90bd6-e081-41ef-8da0-8463094db46a,2ed0be65-e9ce-4f4d-ad0a-77b267a653f6,22794442-fd9d-47db-a8e8-c3473b28a57e,100,21,2025-12-31 09:01:53
fb6a561b-e99a-4b38-b36b-fa33d5ebaaba,899fa094-554f-44af-930c-6ef947862d8d,8beb0dec-fc3b-401c-a10e-140f48b24450,1,0,2025-09-29 09:01:53
04dfbb22-838a-4c13-ab20-daa8f23666fb,7b5ee12f-9df1-4f67-abb1-2f7201a8f34a,25ca9b70-ce99-4fc8-9e9a-649bf93e1eb9,375,7,2025-12-12 09:01:53
d76a3e07-e95a-4c06-997c-d53218aa7361,0aa0dd89-2710-425a-ad24-042f700b1236,3d86d621-2574-4abe-b330-9e86023a93fa,46,0,2026-01-11 09:01:53
07c6627e-12af-4183-9b3b-9d80b058924f,15ee2a3c-d855-45d7-be71-59080d170532,1628fd0a-e93f-42e6-9c18-f185d191d6dd,4,1,2026-02-18 09:01:53
1817d801-4b89-4211-b8f9-48ed3e50d2f2,12c27c96-3caf-455b-a85b-e45568549b32,2022439a-4b25-482f-b40f-8065984b79f8,41,5,2025-09-23 09:01:53
a1687813-5ca2-479f-9c0d-7dba1d58679c,0e4db8bf-88d1-4e75-a8a4-1e68bddb5634,921948ea-cc07-4272-8723-9104746f7478,1,0,2026-03-11 09:01:53
7ed6e811-8f02-47f0-955e-20765a1af4b2,324d9f57-3303-4abc-9894-80981b9851f1,466cf4af-83b6-4f93-9209-5c99603f89a6,54,13,2025-10-23 09:01:53
a1d69810-1908-43e2-aaab-e3de7e64a159,bbcee0a2-d9bb-4bc7-ba53-76f31e334fbc,92ba3f86-3bc0-4627-8868-f5a4d5dbf4b6,452,47,2025-12-16 09:01:53
ec165375-e8cd-4b98-9b86-262f6f867bda,f9e9e400-929a-4f72-afe7-f92a8c2f511b,5c14a570-7536-4a3c-b0ea-4ade7c0ffbfc,62,7,2025-12-12 09:01:53
2bbec1ec-6fa3-45ea-9f3d-b2275a53bf94,33a29204-bbcd-46b1-a4f7-5faf96ac4919,7622f106-e83a-466c-a66c-e50d5b1bd3fd,44,3,2025-12-25 09:01:53
0c1b6669-5386-4cf4-b9a8-47f44304ea61,09f4acdb-4c3f-44ce-bb60-382adaa9f823,51fefc78-f26b-46fb-8927-f1b1907f7719,2,0,2026-01-07 09:01:53
e905c91b-17db-42dd-82c4-ef175af01765,bcdd5e9f-87ae-4f17-84bc-5436bccfa166,4ef05fb7-6328-426b-b041-63d2387891e9,41,0,2026-02-08 09:01:53
b907e5cd-df9b-4975-9dc5-a4a81bf2b07b,f481eb1f-f464-4f4f-b117-b2cfc936c875,73991c44-e36e-4ffa-abb2-63ce3f29fa5c,46,5,2025-09-19 09:01:53
74ca721d-ed64-472a-9ac8-3e744c48898a,1206d854-edc0-48fc-a912-6e6e5140e26e,c10189e8-a830-44ca-88ab-2a316c2909b3,782,55,2025-11-11 09:01:53
b132ece6-ceb8-470c-8576-a41ade10fa69,d0a981ff-d21b-43c7-bc93-495990dc6db5,b7f71236-1616-4942-aa5a-4348a38e5e02,10,0,2025-10-14 09:01:53
394d7857-8495-4f9b-869b-9fe143aabdf0,fa75eb66-77a8-4538-bb01-9a31a028ce13,5fc37245-1a67-4a67-a69c-b2d41b48358e,78,12,2025-12-15 09:01:53
1cadd526-cc49-428a-9e26-da46ac584a0c,0e23239f-b9b6-4e38-a4d4-cf4c601ae07e,18f7e8d2-a255-4fba-8541-8d2eade25d0e,30,1,2026-01-10 09:01:53
